,ID,General.All.ID,General.All.rtmed,General.All.mzmed,General.All.annot_ms1,General.All.annot_ms2,General.Extended.mzmin,General.Extended.mzmax,General.Extended.rtmin,General.Extended.rtmax,General.Extended.npeaks,General.Extended.peakidx,General.Extended.ms2spectrum,General.Extended.purity,PCA_filled.All_samples.PC1..57.8..,PCA_filled.All_samples.PC2..11.5..,PCA_filled.All_samples.PC3..7.1..,PCA_filled.All_samples.PC4..5.6..,PCA_filled.All_samples.PC5..4.2..,PCA_filled.All_samples.PC6..2.4..,PCA_filled.samples.PC1..61.5..,PCA_filled.samples.PC2..11.5..,PCA_filled.samples.PC3..7.4..,PCA_filled.samples.PC4..5.8..,PCA_filled.samples.PC5..2.6..,PCA_filled.samples.PC6..1.9..,PCA_filled.samples.PC7..1.7..,PCA_filled.samples.PC8..1.6..,PCA_filled.samples.PC9..1.4..,PCA_filled.samples.PC10..1.4..,PCA_filled.samples.PC11..1.2..,PCA_filled.samples.PC12..1.1..,PCA_filled.samples.PC13..0.9..,PCA_filled.samples.PC14..0..,PCA_nofill.All_samples.PC1..57.2..,PCA_nofill.All_samples.PC2..10.5..,PCA_nofill.All_samples.PC3..7.4..,PCA_nofill.All_samples.PC4..5.3..,PCA_nofill.All_samples.PC5..4.3..,PCA_nofill.All_samples.PC6..2.6..,PCA_nofill.samples.PC1..60.7..,PCA_nofill.samples.PC2..10.7..,PCA_nofill.samples.PC3..7.8..,PCA_nofill.samples.PC4..5.5..,PCA_nofill.samples.PC5..2.9..,PCA_nofill.samples.PC6..2.1..,PCA_nofill.samples.PC7..1.8..,PCA_nofill.samples.PC8..1.8..,PCA_nofill.samples.PC9..1.6..,PCA_nofill.samples.PC10..1.5..,PCA_nofill.samples.PC11..1.3..,PCA_nofill.samples.PC12..1.2..,PCA_nofill.samples.PC13..1..,PCA_nofill.samples.PC14..0..,Stats.Mean.DMSO_SP,Stats.N.value.DMSO_SP,Stats.Quantile.DMSO_SP,Stats.Mean.DMSO_EP,Stats.N.value.DMSO_EP,Stats.Quantile.DMSO_EP,Stats.Mean.I_EP,Stats.N.value.I_EP,Stats.Quantile.I_EP,Stats.Mean.DMSO_I,Stats.N.value.DMSO_I,Stats.Quantile.DMSO_I,Stats.Mean.QC_QC,Stats.N.value.QC_QC,Stats.Quantile.QC_QC,ttest.DMSO_SP_vs_DMSO_EP.pvalue,ttest.DMSO_SP_vs_DMSO_EP.log.pvalue,ttest.DMSO_SP_vs_DMSO_EP.fdr,ttest.DMSO_SP_vs_DMSO_EP.log.fdr,ttest.DMSO_SP_vs_DMSO_EP.mean.diff,ttest.DMSO_SP_vs_I_EP.pvalue,ttest.DMSO_SP_vs_I_EP.log.pvalue,ttest.DMSO_SP_vs_I_EP.fdr,ttest.DMSO_SP_vs_I_EP.log.fdr,ttest.DMSO_SP_vs_I_EP.mean.diff,ttest.DMSO_SP_vs_DMSO_I.pvalue,ttest.DMSO_SP_vs_DMSO_I.log.pvalue,ttest.DMSO_SP_vs_DMSO_I.fdr,ttest.DMSO_SP_vs_DMSO_I.log.fdr,ttest.DMSO_SP_vs_DMSO_I.mean.diff,ttest.DMSO_SP_vs_QC_QC.pvalue,ttest.DMSO_SP_vs_QC_QC.log.pvalue,ttest.DMSO_SP_vs_QC_QC.fdr,ttest.DMSO_SP_vs_QC_QC.log.fdr,ttest.DMSO_SP_vs_QC_QC.mean.diff,ttest.DMSO_EP_vs_I_EP.pvalue,ttest.DMSO_EP_vs_I_EP.log.pvalue,ttest.DMSO_EP_vs_I_EP.fdr,ttest.DMSO_EP_vs_I_EP.log.fdr,ttest.DMSO_EP_vs_I_EP.mean.diff,ttest.DMSO_EP_vs_DMSO_I.pvalue,ttest.DMSO_EP_vs_DMSO_I.log.pvalue,ttest.DMSO_EP_vs_DMSO_I.fdr,ttest.DMSO_EP_vs_DMSO_I.log.fdr,ttest.DMSO_EP_vs_DMSO_I.mean.diff,ttest.DMSO_EP_vs_QC_QC.pvalue,ttest.DMSO_EP_vs_QC_QC.log.pvalue,ttest.DMSO_EP_vs_QC_QC.fdr,ttest.DMSO_EP_vs_QC_QC.log.fdr,ttest.DMSO_EP_vs_QC_QC.mean.diff,ttest.I_EP_vs_DMSO_I.pvalue,ttest.I_EP_vs_DMSO_I.log.pvalue,ttest.I_EP_vs_DMSO_I.fdr,ttest.I_EP_vs_DMSO_I.log.fdr,ttest.I_EP_vs_DMSO_I.mean.diff,ttest.I_EP_vs_QC_QC.pvalue,ttest.I_EP_vs_QC_QC.log.pvalue,ttest.I_EP_vs_QC_QC.fdr,ttest.I_EP_vs_QC_QC.log.fdr,ttest.I_EP_vs_QC_QC.mean.diff,ttest.DMSO_I_vs_QC_QC.pvalue,ttest.DMSO_I_vs_QC_QC.log.pvalue,ttest.DMSO_I_vs_QC_QC.fdr,ttest.DMSO_I_vs_QC_QC.log.fdr,ttest.DMSO_I_vs_QC_QC.mean.diff
6,FT0007,FT0007,441.153461490105,71.0135516186929,Pyruvaldehyde;Malondialdehyde;Acrylic acid,1,71.0130000758433,71.0141385551552,439.430517813549,442.034662237354,16,5;1284;2395;3580;4716;5933;7123;8431;9730;11043;12402;13776;15125;16492;17690;18982,71.01312|36,1.0,0.001194275242886,-0.00990532279161,-0.011815209717788,0.020148728132736,-0.002370841630761,-0.005296385324695,0.001037067478217,-0.009488407069248,-0.015067847085112,0.01817405214221,0.004902692113741,0.000962084447689,-0.000191952761644,-0.00284054942877,0.002610136870916,-0.005232757558262,-0.007597735201458,-0.004490595911976,-0.004576645279809,-0.04736203748626,0.001311360526386,-0.013392543944977,-0.015327846844113,0.017420091424479,-0.00290078374992,-0.004443922707468,0.001144735264245,-0.012771195297278,-0.01717439506087,0.016250561290531,0.004202085101966,0.001709605208367,-0.001613646174342,0.001942277225986,0.001071344400933,0.005309489291212,0.009188175449722,0.003189347590742,-0.004239224389357,0.097369889792256,4.85967597693272,4,0.720132286068623,5.12993407980049,3,0.83298883836296,4.70868154409708,3,0.601901612236461,4.88778288590966,4,0.739561802397685,4.8240488556462,2,0.712277800744109,0.001883154760487,2.72511398754367,0.005707631223871,2.24354409487967,-0.270258102867765,0.027976234574485,1.55321073922121,0.054839909696132,1.26090326902665,0.150994432835645,0.513648230539838,0.289334203642719,0.866253602210148,0.06235494641565,-0.028106908976934,0.494355320050743,0.305960787782242,0.67299028990327,0.171991201856039,0.035627121286518,0.001257840294475,2.90037449691241,0.019981932731694,1.6993625073956,0.42125253570341,0.002186184363101,2.66031321635656,0.006600586071282,2.18041750139398,0.242151193890831,0.006621000410744,2.17907638517658,0.022119736583498,1.65522004920343,0.305885224154283,0.011728718608089,1.93074943305365,0.027611358389877,1.55891222694582,-0.179101341812578,0.124034206139224,0.906458528637002,0.236191949324379,0.626734909531921,-0.115367311549127,0.205820303734891,0.686511785234022,0.423104463290492,0.373552393311561,0.063734030263452
7,FT0008,FT0008,410.065089321982,73.0293693701435,Methyl acetate;REF_Propionic acid ;Lactaldehyde,1,73.0288467500448,73.0299833439403,408.771181679851,412.756380512122,13,6;1285;2396;3581;4717;5934;7124;8432;9731;13777;16493;17691;18983;31199;32306;34480,73.02996|2920,1.0,0.036132288609753,0.036259036725226,0.008726688997696,-0.036024748433208,0.0376459252433,0.011604218318973,0.037335820656648,0.030583607323697,0.009785759802311,-0.043729157869601,-0.004998544029541,-0.016261923888105,0.019482257842377,-0.002653107426309,-0.00529599158612,0.015591517608829,0.025412246351091,0.020134827203434,0.009224827311205,-0.022620295758334,0.03975287829396,0.044145230591389,0.013951516200254,-0.030756033779048,0.040947814707404,0.006996908632143,0.041039439743998,0.038238269357693,0.013916190736664,-0.041586117563582,0.000160721284386,-0.015833776032353,-0.017085500225,0.002076377481783,-0.003361361341484,-0.014721057113985,-0.030618629031272,-0.015397531246361,0.008898306352016,0.020825343348084,4.41971110751507,4,0.368334022323274,5.10895804899003,3,0.82637453493179,6.12515024065188,3,0.977263331955353,4.35106931029995,4,0.324100868127325,5.27326430874301,2,0.896238114923522,0.001789010180203,2.74738718811154,0.005492984321223,2.26019164059561,-0.689246941474961,5.78874982648877e-06,5.23741521901554,0.000130695964436,3.88373782213907,-1.70543913313682,0.543561165668877,0.264751578683793,0.872119017461673,0.059424243164062,0.068641797215119,0.001105643323035,2.95638495243516,0.013363130721554,1.87409178319188,-0.853553201227939,0.001681505916697,2.77430160019921,0.0226143437774,1.64561601008428,-1.01619219166185,0.003542020252897,2.45074895988899,0.00953589663051,2.02063846534737,0.75788873869008,0.402364931310721,0.395379877857508,0.513952405529903,0.289077096905063,-0.164306259752978,3.17372717475291e-05,4.49843040952571,0.000405082184825,3.39245685630362,1.77408093035193,0.00602034711764,2.22037846772399,0.028560813409279,1.54422942805374,0.851885931908877,0.003973367429955,2.40084127249215,0.034508463724762,1.46207437454536,-0.922194998443058
8,FT0009,FT0009,361.193745100193,74.024407477508,REF_Glycine;Acetohydroxamic Acid;Ethyl nitrite,1,74.0241215071769,74.024634265646,359.67665424295,361.789706885619,4,7;7125;11044;12403;21419;22727;23990;25302;26565;28958;30090;33382;34481;35570;36791;37928,,0.0,-0.008065997221483,-0.014550367582545,2.03553371931199e-05,0.011779562618808,0.005229216316036,-0.018223768117132,-0.008194516339196,-0.015485748872636,-0.003569679458087,0.009341395528823,0.02108531379374,-0.008394775840585,-0.010209285630131,-0.045023799984874,-0.014436056558751,0.020290510617537,0.020394054278506,0.013941159349738,-0.008537076311892,-0.074357868253851,-0.008931951102879,-0.018359646910607,-0.002114985038221,0.009311680503326,0.005571627742789,-0.017090369312869,-0.009069353016951,-0.018930224743689,-0.004422021838193,0.006762103359829,0.019830608075479,-0.006054742521918,0.001109558653026,0.049003031636775,-0.012525984118688,-0.019285642936375,-0.023431611225304,-0.009155274537087,-0.009141817849627,-0.000643974987119,4.66028492696062,4,0.581645307978504,4.52335318362106,3,0.457627118644068,4.1603590388337,3,0.277387350144688,4.56344376043187,4,0.509301364200083,4.50248840938152,2,0.448119057461761,0.519036552002486,0.284802056845162,0.610554984997929,0.214275218523546,0.136931743339562,0.001348605032592,2.87011522399873,0.004755289876473,2.32282300387581,0.499925888126927,0.138663079990365,0.858039157462186,0.667808418078235,0.175348110735551,0.096841166528749,0.142173309921197,0.847181925701157,0.309995101577262,0.508645168664995,0.157796517579106,0.217001471733966,0.663537320696297,0.440516709772124,0.35603761319021,0.362994144787365,0.851720315969445,0.069702993463421,0.884811436413291,0.05314927263625,-0.040090576810814,0.951336832518797,0.021665688526028,0.965584495821389,0.01520971622603,0.020864774239544,0.007233239092749,2.14066717917977,0.018882812285031,1.7239333241844,-0.403084721598178,0.097446249080264,1.01123487317124,0.199763708285409,0.699483408617549,-0.342129370547821,0.599537879438971,0.222183372512386,0.789402509755264,0.102701497181535,0.060955351050358
9,FT0010,FT0010,423.963307451453,74.0244455499672,REF_Glycine;Acetohydroxamic Acid;Ethyl nitrite,1,74.0242454276354,74.0316020077416,412.756380512122,424.960762883602,3,2397;5935;16494;20282;21420;23991;25303;27833;28959;30091;31200;32307;33383;34482;36792;37929,,0.0,0.029900986981852,-0.002121707915596,0.006507132837277,0.014854016777629,0.026504314276302,-0.015710974494277,0.03068971640696,-0.009134677840489,-0.001861380661543,0.005747713060429,0.018591939711006,-0.010905214962698,-0.012188289603807,0.001155949928785,0.011781363608757,0.012127698839442,0.006370904874288,-0.01237792074282,0.002878292509801,0.005855937308724,0.032756586088154,-0.005684377815252,0.004170124892278,0.015709170968218,0.030009467210462,-0.015479392236475,0.033611417131092,-0.012041491920276,-0.001827974993349,0.00339821358646,0.019548124072419,-0.009427552468752,0.012850834946244,0.004450409009924,0.01813300218037,-0.006046729575441,-0.004582195258148,0.011548147197632,0.002473141694903,0.036633525555736,3.69754166864829,4,0.112443158329888,4.73744704766387,3,0.616370400992145,4.57436443938436,3,0.493178999586606,3.54881677518828,4,0.07482430756511,4.28249950139853,2,0.262505167424556,3.27631070470793e-06,5.48461491920049,8.12180179956544e-05,4.09034761302443,-1.03990537901558,5.82340826312941e-05,4.23482276163354,0.000499209563426,3.30171710340684,-0.876822770736073,0.080005769483971,1.09687869344925,0.584420599966015,0.233274484226633,0.148724893460013,0.000206813154259,3.68442184159208,0.005595705912388,2.25214511833737,-0.584957832750244,0.149340007368082,0.825823831580701,0.352430505922483,0.452926506672037,0.163082608279505,4.22491347757556e-05,4.37418218058323,0.000351279908577,3.45434668893149,1.18863027247559,0.008203145678554,2.0860195758036,0.025737912102554,1.58942668661258,0.454947546265334,0.000178388743133,3.74863255438489,0.001219932240504,2.91366429095842,1.02554766419609,0.075154266362701,1.12404636031744,0.16335804624838,0.786859469359892,0.291864937985829,0.002327069767104,2.63319059607976,0.02673424933548,1.57293200584215,-0.733682726210258
10,FT0011,FT0011,99.6722982135429,78.9186193913744,,NI,78.9184578423929,78.9189550489052,79.7008750895912,107.596849314386,17,8;1286;2398;3582;4718;5936;7126;8433;9732;11045;12404;13778;15126;16495;17692;17693;18984,,0.0,0.004393262850255,-0.000432296993145,-0.008514040672522,0.001323020880708,-0.009379217700797,-0.0117225796949,0.004098755249878,0.002189232650169,-0.006618685339838,0.003436096042212,0.008995126239534,-0.015391973105877,0.010257836773617,0.008901821191191,-0.003609420973482,-0.017198827836775,-0.005581951253822,-0.00752444702727,0.00552062870643,-0.034110611262833,0.004855571550047,-0.000460695717795,-0.008475829555652,0.000361283652414,-0.010663948036073,-0.013914009029967,0.004539263574378,0.001937069331136,-0.007008289476623,0.003689225552098,0.010780480697032,-0.01499432094222,-0.008425097523953,-0.011564125541814,-0.007672519554498,0.015069851495207,0.007715485224494,0.007226599270873,0.006102413431582,0.05721730313298,5.36931651015203,4,0.910293509714758,5.55370957176529,3,0.926002480363787,5.51041130390165,3,0.923522116577098,5.41284740495759,4,0.917734601074824,5.28329306481671,2,0.897891690781315,0.070159047488406,1.15391631578422,0.115380277119551,0.937868422291145,-0.184393061613263,0.167478485731689,0.776040974466648,0.247504120700298,0.606417566094036,-0.141094793749623,0.510701441720461,0.291832916120656,0.866253602210148,0.06235494641565,-0.043530894805562,0.44034457330875,0.356207351419294,0.630842616755796,0.200078975462506,0.086023445335316,0.702734686363597,0.153208609541583,0.843923390473178,0.073696975891944,0.04329826786364,0.118205757402687,0.927361369924114,0.179443965915176,0.746071140918384,0.140862166807701,0.117035692232002,0.931681671796455,0.189882805727982,0.721514359726071,0.270416506948579,0.289280685976018,0.538680561353908,0.391816819532585,0.406916924968631,0.097563898944062,0.190714819823093,0.71961555804304,0.321126150842969,0.493324326310321,0.227118239084939,0.237501796206174,0.624333101493936,0.462752912597,0.334650839088674,0.129554340140878
11,FT0012,FT0012,445.518742850986,78.9597161440323,Carbon dioxide,1,78.9594764667486,78.9604240164673,443.344980413162,447.076499529129,16,9;1287;2399;3583;4719;5937;7127;8434;9733;11046;12405;13779;15127;16496;17694;18985,,0.0,-0.002930102164798,-0.000359575599849,-0.004456339583177,0.002557449095861,-0.006268167107888,-0.003738398953167,-0.003099696545484,0.001118912041007,-0.003496033524987,0.004008165764168,0.00247918204985,-0.000842537802845,-0.001015195328628,0.001055566155761,0.006107446288514,-0.00035190914686,0.001636637804131,-0.003245517678721,0.00491964158567,-0.098262734030572,-0.003198275716985,-0.000479218925299,-0.004774070609755,0.002346371608183,-0.006988039062152,-0.003752000005471,-0.003381460651618,0.000868065005509,-0.004009387008417,0.004519245013365,0.002367288607484,-0.000739924437879,0.000370339074004,-0.00028588244542,0.006310453748976,0.002069194573116,-0.001062474549675,0.003593282892064,0.005035421669394,0.040211359784364,6.83365940438014,4,0.996692848284415,6.79031055627033,3,0.992145514675486,6.73514040847093,3,0.992145514675486,6.8920404525568,4,0.995452666391071,6.75353805866361,2,0.994625878462174,0.114429439806041,0.941462228161249,0.173746828332189,0.760083114509939,0.043348848109803,0.018270236680741,1.73825582656788,0.038838616340192,1.41073625061067,0.09851899590921,0.049042887816756,1.30942396495872,0.480498706667477,0.318307776960959,-0.058381048176662,0.056563414859937,1.2474643790899,0.161290408121569,0.792391459168618,0.080121345716528,0.106832806165049,0.971295363892984,0.287029798175564,0.54207301437595,0.055170147799407,0.005305982135585,2.27523421655308,0.013381539083635,1.87349393312356,-0.101729896286464,0.225387547206911,0.647070082649817,0.321285614167544,0.493108719912297,0.036772497606726,0.002391117730242,2.62139904022231,0.007794124139923,2.10823268131801,-0.156900044085871,0.645095425589197,0.190376037703553,0.762043641064108,0.118020156572986,-0.018397650192681,0.008637807842766,2.06359646152432,0.053823638999466,1.26902694306499,0.13850239389319
12,FT0013,FT0013,447.996282370564,79.9572941710571,,NI,79.9569878552743,79.9576747605822,446.365249584096,448.659500088393,14,10;1288;2400;3584;7128;8435;9734;11047;12406;13780;15128;16497;17695;18986;25304;26566,79.95813|36,1.0,0.006649543935824,0.004468709932662,0.002545779701319,-0.009775424171305,-0.012946555787378,0.012337990587687,0.006431375941089,0.00668987056987,0.00662032090594,-0.004962909896315,-0.016154014441524,-0.002403862889461,-0.015024666012495,0.000837810205172,0.001799759076463,-0.014159300444695,0.008629830526984,-0.004402339527503,0.005232117504024,-0.008258032264841,0.007325646387127,0.006166400877877,0.004644299334488,-0.008640131714478,-0.013848308487942,0.012818861135437,0.007089252720876,0.008080895770391,0.007303644004465,-0.003185116336231,-0.016786962325843,-0.002996972893928,0.014654574703207,0.00181462342145,-0.000974353573361,0.015653865263211,-0.007205000586095,0.005507229304376,0.004771539881356,0.107549013735059,4.43537794875923,4,0.381149235221166,4.5553805365376,3,0.477056634973129,4.75801252608394,3,0.640760644894585,4.45406351604689,4,0.399338569656883,4.38860417991457,2,0.342703596527491,0.040295393648356,1.39474459721969,0.072384173944987,1.14035637744486,-0.120002587778372,0.024694747102403,1.60739541706645,0.049515060715496,1.30526268408066,-0.322634577324711,0.674189926930178,0.171217740559218,0.898036133006434,0.046706188889924,-0.01868556728766,0.577141730310956,0.238717522834712,0.736405485363683,0.132882985167607,0.046773768844655,0.150467582920617,0.822557055386715,0.354384844550349,0.45052485921414,-0.202631989546338,0.037183502578782,1.42964970334865,0.067561993488705,1.1702975445899,0.101317020490712,0.119000271506854,0.924452047735251,0.192412163608901,0.715767476886309,0.166776356623027,0.027372704724663,1.56268228739221,0.05575573245633,1.25371047453691,0.303949010037051,0.105848102126051,0.975316924546533,0.210551424445414,0.676641816097479,0.369408346169365,0.405790555686626,0.39169806489487,0.638355110224403,0.194937660609844,0.065459336132315
13,FT0014,FT0014,76.6933630529027,79.9568991215775,,NI,79.9567357560074,79.9570429964733,76.1175538724997,78.177163703226,4,11;15129;16498;17696;21421;22728;23992;25305;26567;27834;28960;30092;31201;32308;33384;37930,79.95549|192,1.0,0.001422591726118,0.001391182898104,0.005455571284452,0.000826394233805,-0.009343964373693,-0.009030548285803,0.001357862106481,0.001924820869412,0.006790156873164,0.004123866817845,0.00566443337722,-0.010655336473745,-0.010772423501764,0.010571019053451,-0.001725930325713,-0.012246474571083,0.00092107595833,0.013875902202885,-0.006401894430586,0.015721471240783,0.001563174554581,0.001193259954413,0.006195769967388,0.003249257562704,-0.009707659804154,-0.009076665351309,0.001494493911819,0.001595121289446,0.006948393759157,0.006384706859662,0.005697135288843,-0.011285060069948,0.012260614269761,-0.007587609852173,-0.003394680999282,0.011700788966291,-0.002302522705289,-0.015026563722828,-0.005366462850269,-0.015850467009399,4.79416179450608,4,0.6812732534105,4.85253301272632,3,0.691608102521703,4.88313037815167,3,0.737908226539893,4.84353688245221,4,0.716825134353038,4.78600843613275,2,0.684580405126085,0.505241419006545,0.296501053784461,0.597011310466841,0.224017441020034,-0.058371218220235,0.370111761229498,0.43166711388918,0.473598932974036,0.324589284756442,-0.088968583645591,0.561890503932684,0.250348307510874,0.872119017461673,0.059424243164062,-0.049375087946134,0.952587631505472,0.021095061711469,0.975112274554828,0.010945376699019,0.00815335837333,0.5911559011066,0.228297970791154,0.766398953465738,0.115545096967567,-0.030597365425356,0.87211074943034,0.059428360466097,0.899244782388076,0.046122073372272,0.008996130274101,0.548671137402519,0.260687885068198,0.647808829227863,0.188553137124222,0.066524576593565,0.575189708947237,0.240188892770184,0.672045878548396,0.172601077957651,0.039593495699457,0.463507507679028,0.333943226962489,0.611250788279388,0.213780567794429,0.097121942018921,0.604451418410224,0.218638598962387,0.791150199032153,0.101741058324728,0.057528446319465
14,FT0015,FT0015,99.6722982135429,80.916659300455,,NI,80.9164108872866,80.9168931936035,79.7008750895912,107.596849314386,17,12;1289;2401;3585;4720;5938;7129;8436;9735;11048;12407;13781;15130;16499;17697;17698;18987,,0.0,0.004620574697203,-0.000744887338276,-0.008683779139204,0.000912453431223,-0.010106983884675,-0.010716809382711,0.004298100843348,0.002065618346496,-0.006595977369953,0.003251871313383,0.00786126448552,-0.015226401773981,0.010856801622939,0.00780913776311,-0.002992640975759,-0.017848293598977,-0.002428835856268,-0.006491399281825,0.00536603226191,0.00045426370738,0.005104389888193,-0.000756194795615,-0.008601456051862,-0.000224644060005,-0.011453661285368,-0.012874969408292,0.004757951620954,0.001823268903151,-0.006994098314689,0.003408601936697,0.009590640644396,-0.014770401990564,-0.009354005135714,-0.010701591756522,-0.007470065949769,0.016066317565711,0.004395700460506,0.006757853110197,0.00582746411956,-0.000398758368126,5.34779104510732,4,0.908639933856966,5.53578949562462,3,0.924762298470442,5.49396823236814,3,0.921868540719305,5.38710169260454,4,0.914014055394791,5.24859802827213,2,0.8900372054568,0.053700801179125,1.27001923487629,0.091907984576191,1.03664675731086,-0.187998450517299,0.152659392915826,0.816276469019998,0.228602609898003,0.64091881568251,-0.146177187260816,0.562932900637865,0.249543368238146,0.872119017461673,0.059424243164062,-0.039310647497221,0.383905678467443,0.415775464051292,0.585198092465417,0.232697098187694,0.099193016835197,0.693137840812661,0.159180390854933,0.835365208352122,0.078123616376782,0.041821263256483,0.090724448929655,1.04227566107215,0.143079509605548,0.844422557032778,0.148687803020079,0.090339566363151,1.04412199841645,0.154718737482595,0.810457087124695,0.287191467352496,0.256757540535834,0.590476793047081,0.354854772097574,0.449949349990659,0.106866539763596,0.165884443392633,0.780194340108983,0.292070158539327,0.534512813597333,0.245370204096013,0.226916860330661,0.644133234055431,0.452889806932825,0.344007453754321,0.138503664332418
15,FT0016,FT0016,445.518742850986,80.9626527125129,,NI,80.962505770357,80.9627357326042,444.533421191779,445.700259227282,4,7130;11049;12408;15131;20283;21422;22729;23993;25306;26568;28961;30093;33385;35571;36793;37931,,0.0,8.36051180476691e-05,0.00189189060117,0.002360998876968,-5.96190070057443e-05,0.002076755282326,0.012657432743601,0.000216060226345,0.001052950901144,0.001878464780641,-0.00057386570872,-0.012457122352578,-0.011913359894965,0.008154390842897,-0.011196949270104,0.005206819209594,-0.007448871900444,-0.001212875204472,0.000960724440785,-0.004838001923092,-0.000408926084042,0.000130960151141,0.002066113382197,0.002338001665104,0.000410213580673,0.002440593047674,0.013108140768936,0.000275124120075,0.001269554189229,0.001943866111504,-0.000591985370671,-0.012646960811082,-0.011484960866609,-0.012737880797888,0.008994248600671,0.000804078508302,0.009134839411402,0.001563980398968,-0.000651923702138,-0.004828111251815,9.61508132419088e-05,4.50963555425156,4,0.452252997106242,4.49799580953428,3,0.442744935923935,4.53414750881422,3,0.458867300537412,4.51675943922167,4,0.461761058288549,4.56808864027696,2,0.511781727986771,0.813832709155638,0.089464859186187,0.861382485420911,0.064803963038223,0.011639744717278,0.754396899849734,0.122400104975023,0.816515583277434,0.088035522296795,-0.024511954562656,0.90002739653508,0.045744270579654,0.965595003250984,0.015204990286577,-0.007123884970113,0.375480850294094,0.425412207324732,0.579403697051353,0.237018737983,-0.058453086025394,0.664977539236827,0.177193023494252,0.819718093232875,0.086335478839846,-0.036151699279934,0.739029598646711,0.131338167462388,0.790810933111286,0.101927335113197,-0.018763629687391,0.215422040781936,0.666709864175139,0.310061335397301,0.508552386844011,-0.070092830742672,0.833146742364054,0.079278499449992,0.886801549727543,0.052173556606791,0.017388069592543,0.755072350285164,0.122011432709643,0.835436367205844,0.078086623477109,-0.033941131462738,0.485412203983962,0.313889309058339,0.70747501662061,0.150288891966759,-0.051329201055281
