,ID,General.All.ID,General.All.rtmed,General.All.mzmed,General.All.annot_ms1,General.All.annot_ms2,General.Extended.mzmin,General.Extended.mzmax,General.Extended.rtmin,General.Extended.rtmax,General.Extended.npeaks,General.Extended.peakidx,General.Extended.ms2spectrum,General.Extended.purity,PCA_filled.All_samples.PC1..52.5..,PCA_filled.All_samples.PC2..23.1..,PCA_filled.All_samples.PC3..6.5..,PCA_filled.All_samples.PC4..3.9..,PCA_filled.All_samples.PC5..3.1..,PCA_filled.All_samples.PC6..2.3..,PCA_filled.samples.PC1..57.6..,PCA_filled.samples.PC2..21.5..,PCA_filled.samples.PC3..6.8..,PCA_filled.samples.PC4..3.5..,PCA_filled.samples.PC5..2.5..,PCA_filled.samples.PC6..1.6..,PCA_filled.samples.PC7..1.5..,PCA_filled.samples.PC8..1.1..,PCA_filled.samples.PC9..1..,PCA_filled.samples.PC10..0.8..,PCA_filled.samples.PC11..0.8..,PCA_filled.samples.PC12..0.7..,PCA_filled.samples.PC13..0.6..,PCA_filled.samples.PC14..0..,PCA_nofill.All_samples.PC1..56.4..,PCA_nofill.All_samples.PC2..15.3..,PCA_nofill.All_samples.PC3..7.6..,PCA_nofill.All_samples.PC4..4.6..,PCA_nofill.All_samples.PC5..3.5..,PCA_nofill.All_samples.PC6..2.8..,PCA_nofill.samples.PC1..61.1..,PCA_nofill.samples.PC2..14.2..,PCA_nofill.samples.PC3..7.9..,PCA_nofill.samples.PC4..4.4..,PCA_nofill.samples.PC5..2.9..,PCA_nofill.samples.PC6..2.1..,PCA_nofill.samples.PC7..1.7..,PCA_nofill.samples.PC8..1.3..,PCA_nofill.samples.PC9..1.1..,PCA_nofill.samples.PC10..1..,PCA_nofill.samples.PC11..0.8..,PCA_nofill.samples.PC12..0.8..,PCA_nofill.samples.PC13..0.7..,PCA_nofill.samples.PC14..0..,Stats.Mean.DMSO_SP,Stats.N.value.DMSO_SP,Stats.Quantile.DMSO_SP,Stats.Mean.DMSO_EP,Stats.N.value.DMSO_EP,Stats.Quantile.DMSO_EP,Stats.Mean.I_EP,Stats.N.value.I_EP,Stats.Quantile.I_EP,Stats.Mean.DMSO_I,Stats.N.value.DMSO_I,Stats.Quantile.DMSO_I,Stats.Mean.QC_QC,Stats.N.value.QC_QC,Stats.Quantile.QC_QC,ttest.DMSO_SP_vs_DMSO_EP.pvalue,ttest.DMSO_SP_vs_DMSO_EP.log.pvalue,ttest.DMSO_SP_vs_DMSO_EP.fdr,ttest.DMSO_SP_vs_DMSO_EP.log.fdr,ttest.DMSO_SP_vs_DMSO_EP.mean.diff,ttest.DMSO_SP_vs_I_EP.pvalue,ttest.DMSO_SP_vs_I_EP.log.pvalue,ttest.DMSO_SP_vs_I_EP.fdr,ttest.DMSO_SP_vs_I_EP.log.fdr,ttest.DMSO_SP_vs_I_EP.mean.diff,ttest.DMSO_SP_vs_DMSO_I.pvalue,ttest.DMSO_SP_vs_DMSO_I.log.pvalue,ttest.DMSO_SP_vs_DMSO_I.fdr,ttest.DMSO_SP_vs_DMSO_I.log.fdr,ttest.DMSO_SP_vs_DMSO_I.mean.diff,ttest.DMSO_SP_vs_QC_QC.pvalue,ttest.DMSO_SP_vs_QC_QC.log.pvalue,ttest.DMSO_SP_vs_QC_QC.fdr,ttest.DMSO_SP_vs_QC_QC.log.fdr,ttest.DMSO_SP_vs_QC_QC.mean.diff,ttest.DMSO_EP_vs_I_EP.pvalue,ttest.DMSO_EP_vs_I_EP.log.pvalue,ttest.DMSO_EP_vs_I_EP.fdr,ttest.DMSO_EP_vs_I_EP.log.fdr,ttest.DMSO_EP_vs_I_EP.mean.diff,ttest.DMSO_EP_vs_DMSO_I.pvalue,ttest.DMSO_EP_vs_DMSO_I.log.pvalue,ttest.DMSO_EP_vs_DMSO_I.fdr,ttest.DMSO_EP_vs_DMSO_I.log.fdr,ttest.DMSO_EP_vs_DMSO_I.mean.diff,ttest.DMSO_EP_vs_QC_QC.pvalue,ttest.DMSO_EP_vs_QC_QC.log.pvalue,ttest.DMSO_EP_vs_QC_QC.fdr,ttest.DMSO_EP_vs_QC_QC.log.fdr,ttest.DMSO_EP_vs_QC_QC.mean.diff,ttest.I_EP_vs_DMSO_I.pvalue,ttest.I_EP_vs_DMSO_I.log.pvalue,ttest.I_EP_vs_DMSO_I.fdr,ttest.I_EP_vs_DMSO_I.log.fdr,ttest.I_EP_vs_DMSO_I.mean.diff,ttest.I_EP_vs_QC_QC.pvalue,ttest.I_EP_vs_QC_QC.log.pvalue,ttest.I_EP_vs_QC_QC.fdr,ttest.I_EP_vs_QC_QC.log.fdr,ttest.I_EP_vs_QC_QC.mean.diff,ttest.DMSO_I_vs_QC_QC.pvalue,ttest.DMSO_I_vs_QC_QC.log.pvalue,ttest.DMSO_I_vs_QC_QC.fdr,ttest.DMSO_I_vs_QC_QC.log.fdr,ttest.DMSO_I_vs_QC_QC.mean.diff
0,FT0001,FT0001,200.250215032176,50.014993982071,,NI,50.0148569558387,50.0151006482959,199.700921662372,201.090452833312,3,2219;6899;31439;38941;44911;50884;53931;56760;59683;62648;65617;68591;71403;74343;80220;82971,50.01682|220.893515879035,1.0,0.011233035009655,0.00408241564777,-0.007123994820843,-0.001991349928144,0.000153860829927,-0.005603645257831,0.011322018035903,0.003892664490708,-0.007253072849013,-0.001072884564138,0.006511011401423,-0.006631746460285,-0.007445339861792,-0.001998901209214,-0.003579933429278,0.002526243503367,-0.006976484308396,0.004351145175832,0.013471265898877,0.124858052668178,0.015267276346372,-0.001008277893122,-0.006730883588227,-0.003646960630976,-0.001305460629931,-0.008261493915306,0.015266688183953,-0.001273911233878,-0.007324448205192,-0.001965189671498,0.009135186860755,0.011505418897032,0.003240851818353,0.002075946216951,0.001197932955244,0.004709228186424,0.001524503487755,0.009529748099348,-0.016500234584887,0.172717051124712,2.88858471282177,4,0.213606437454279,3.68576684996751,3,0.492684711046086,3.57527587088064,3,0.423006583760059,2.82004638407849,4,0.12966349670812,3.24592492126918,2,0.201536210680322,5.94889742741509e-05,4.22556351923971,0.000359689832024,3.44407183896328,-0.797182137145742,0.000166881480338,3.77759185644909,0.000827231345355,3.08237301770164,-0.68669115805887,0.481982694888811,0.316968554394377,0.612798534831795,0.212682281748865,0.068538328743275,0.008377501617794,2.07688547962532,0.030270853499325,1.51897533375695,-0.357340208447419,0.13796626582953,0.860227090084614,0.384400600518341,0.415215942539397,0.110490979086872,0.000303963266055,3.51717889768609,0.001004752138974,2.99794106058406,0.865720465889017,0.003824038712493,2.41747771981205,0.017330860346219,1.76117987731257,0.439841928698323,0.000660556895916,3.18008976924076,0.002130627437594,2.67149248456197,0.755229486802145,0.014871275352441,1.82765178502367,0.059397784932855,1.22622975046283,0.329350949611451,0.023231987606334,1.63391363266484,0.081334280761445,1.08972636944153,-0.425878537190694
1,FT0002,FT0002,898.922412101144,55.9345063441292,,NI,55.9342878111803,55.9346628708393,894.950983311003,901.393987168097,9,4553;6900;9316;11735;14378;18989;23751;31440;33831;38942;41937;59684;65618;71404;74344;82972,55.93655|482.628234727831,1.0,0.011470841584681,0.003033576928132,0.027734013516137,0.029825213270394,-0.030430194069612,0.037718940738074,0.011026415039245,0.003113204969936,0.024292675644191,0.025305331985383,-0.043545107023698,-0.008690580137243,-0.020338199514665,-0.014054002824781,0.016539785186771,-0.010534704705923,0.026738639907466,-0.001661720076835,-0.030849581500067,0.14350314611402,0.01496697066931,0.002739549134034,0.031294997571788,0.047218085625491,-0.029393783793372,0.053906788006231,0.014381753921059,0.003227754313033,0.027576898283973,0.035414066402386,-0.05873310173296,0.018109758561019,0.012605027928734,0.014001913413533,-0.020004828497209,-0.007980760835246,0.010323393650002,-0.023741110642356,0.040790088953859,-0.259188226642253,3.41830116464079,4,0.366313094367228,3.60506442985924,3,0.447512801755669,4.18734843837919,3,0.761155815654718,3.06991556355542,4,0.185442574981712,3.44529179027107,2,0.319678127286028,0.73294972584187,0.134925813269169,0.844170035079605,0.073570067759131,-0.186763265218446,0.035939208708286,1.44443148920278,0.084162545547633,1.07488113748962,-0.769047273738404,0.337538871830511,0.471676205501465,0.494356829736948,0.305959461514757,0.348385601085373,0.967795133803856,0.014216565909402,0.977811124839342,0.009745025950427,-0.026990625630283,0.349499691803958,0.456553202887969,0.57016420309979,0.244000052695182,-0.582284008519958,0.369982370379019,0.431818969526307,0.443913849747685,0.352701305131955,0.535148866303819,0.87800404854238,0.056503481524921,0.903283427433419,0.044175957707622,0.159772639588163,0.016812149325621,1.77437676124302,0.03716083491715,1.42991453698632,1.11743287482378,0.350035608015152,0.455887773998596,0.582362954661849,0.234806259206082,0.742056648108121,0.601284911639202,0.220919693999256,0.761887790889923,0.118108985859486,-0.375376226715656
2,FT0003,FT0003,878.463258427405,55.934386540841,,NI,55.9342241525997,55.9345347818425,877.284781636127,882.493347080962,5,4554;18988;26442;28935;31441;38943;41938;47866;50885;53932;56761;59685;65619;68592;80221;82973,55.93528|226.989223050116,1.0,3.87012563978461e-05,-0.002711412077252,0.005316332110762,0.011375903673226,-0.004200467244375,0.009395604438528,-0.000232767134582,-0.00155884250556,0.004883530200462,0.006017126473812,-0.007383653024997,-0.010540163179018,-0.025449937431286,-0.001966109990669,-0.000950937136681,-0.029230095958645,0.012829749065172,0.012145974963455,0.015242437852774,0.165327855288492,-0.000496248807466,-0.003387654301346,0.006697928527607,0.016201339666729,-0.001014117448612,0.014089967114732,-0.000613480668709,-0.001345727268617,0.006215737761,0.008741262057282,-0.010251506556842,0.025685378450641,0.019383289887699,-0.002607565805319,-0.013940356761265,0.022890521614773,0.025553936202551,-0.023025647916332,-0.014379912657873,0.315236744798521,3.79501136562774,4,0.560716898317484,3.66019877241551,3,0.479517190929042,3.72412761714186,3,0.513350402340892,3.68789967419852,4,0.471836137527432,3.50022872233679,2,0.350585223116313,0.622998779934253,0.20551280385181,0.765831948409875,0.115866520034954,0.134812593212229,0.325358400345409,0.487637975847106,0.460465921731472,0.336802505644379,0.070883748485883,0.326766522326935,0.485762443918791,0.483855244441198,0.315284547329564,0.107111691429223,0.187499049221406,0.727000930170628,0.282074106244752,0.549636779251087,0.294782643290948,0.84064511293453,0.075387307439299,0.90561927704182,0.043054341650739,-0.063928844726346,0.921810960342183,0.035358132414762,0.940574245996207,0.026606916909161,-0.027700901783006,0.737345227388944,0.132329126461699,0.787778176313783,0.103596054547161,0.159970050078719,0.731282199963704,0.135914997547478,0.809999177093388,0.091515422336143,0.03622794294334,0.350469727728714,0.455349488819022,0.582686271725693,0.234565213905751,0.223898894805065,0.419852594712196,0.376903158506007,0.609427471474676,0.215077972757005,0.187670951861725
3,FT0004,FT0004,223.280703005133,56.0477953163099,,NI,56.0472971309662,56.0491654790404,223.211290673375,223.393706545818,3,18990;26443;28936;38944;41939;44912;47867;50886;53933;56762;59686;65620;68593;77318;80222;82974,56.051;56.05663|83.8301340196125;44.1226266395589,1.0,-0.006127769821401,-0.004633903987171,0.001411760278049,-0.006177520160479,-0.003961019004106,-0.003831491495687,-0.006155747607439,-0.005940483876286,-0.000319544990603,-0.001882817809279,0.002674998174095,0.006299067801462,0.001487135122477,-0.002226275981305,-0.009203728562761,0.001418072830093,0.003510437859136,0.007351906381134,0.008730465013675,-0.2076053099603,-0.008837065999007,-0.003868159917971,0.002951981905013,-0.005899962922411,-0.006113775277358,-0.004724113604533,-0.008887084134079,-0.006200556349929,0.001054783263962,-0.002620145846702,0.003611929012342,-0.006050978005477,0.004035178261635,0.000301212944314,0.009491288014139,0.003006019542989,0.013899776044201,0.005308283465668,-0.007866973325072,0.043608618695518,3.65298057812962,4,0.477871250914411,3.19595928228945,3,0.271945866861741,3.08868753400977,3,0.210863204096562,3.54240431487696,4,0.381309436722751,3.48327390735861,2,0.341075347476225,0.000107771206542,3.96749725501554,0.000573244260641,3.2416602847612,0.457021295840173,0.000327423147476,3.48489062099664,0.001434097504467,2.84342131992861,0.564293044119849,0.156269918962383,0.806124613061688,0.309855047464473,0.50884142490364,0.110576263252662,0.017819200089038,1.74911179551319,0.051299403310568,1.28988768635865,0.169706670771016,0.208376799842372,0.681150635954654,0.461655769581134,0.335681732438263,0.107271748279676,0.006392861189097,2.19430472548384,0.013851591368236,1.85850032892867,-0.346445032587511,0.004660201066882,2.33159534503675,0.019362169661324,1.71304597868337,-0.287314625069157,0.004263993853378,2.3701834300241,0.011090109144172,1.95506417968688,-0.453716780867187,0.018993000846558,1.72140641240146,0.070876952647188,1.14949496320003,-0.394586373348833,0.5597247121631,0.252025518322595,0.732494145587007,0.135195842031079,0.059130407518354
4,FT0005,FT0005,49.0134640173009,58.0650274296074,Allylamine,1,58.06472802624,58.06530577413,47.3153388613581,52.2150677884161,8,2220;4555;6901;14379;16706;18991;28937;31442;38945;50887;53934;65621;68594;71405;80223;82975,58.067|574.806902457924,1.0,0.001773984322353,-0.002668543647322,-0.004345300412933,-0.000316089043795,-0.001141078180519,0.001023873015636,0.001684528123712,-0.002434131992702,-0.0048855185762,-0.000986883339008,0.00028074931402,0.000858518081015,-0.007861800748959,-0.001599420207641,-0.006573889587594,-0.003955574043079,-0.001510818250623,0.001369658563159,-0.003578387885137,-0.074928300910913,0.001809095088893,-0.006071432516998,-0.0031090987294,-0.001228160817102,-0.000954019119158,0.001486579207219,0.001819756010338,-0.005735754384182,-0.00400755737842,-0.002359285741292,0.000645721836701,0.005096167098426,0.009631670542195,0.000286332705972,0.005809081102,0.006644050905574,0.000219721628301,-0.001749604059766,0.003169530901537,0.003083014037343,4.07947880500274,4,0.696781272860278,4.20793243195303,3,0.7542062911485,4.00702452290211,3,0.673006583760059,3.96157844333257,4,0.628200438917337,3.95692586432413,2,0.655998536942209,0.021360095930979,1.6703968011659,0.057234788846603,1.24233991506235,-0.128453626950295,0.21738813442143,0.662764164462839,0.354334811159839,0.450586178877763,0.072454282100629,0.034216826571027,1.46576027143432,0.116435522272926,0.93391450444889,0.117900361670174,0.058210689913498,1.23499725342342,0.120453384465214,0.919180992810373,0.122552940678605,0.033685122680948,1.47256186661138,0.177207337994716,0.751518298337059,0.200907909050923,0.005459163841575,2.26287387136097,0.0120715788063,1.91823592608957,0.246353988620469,0.024982177631743,1.60236970798631,0.060156549418772,1.22071708284469,0.2510065676289,0.499631523587794,0.30135016819957,0.619465996116112,0.207982528036012,0.045446079569546,0.57253183600657,0.242200359088398,0.777647589428054,0.109217169900728,0.050098658577976,0.946261899957411,0.023988645876714,0.973333574866789,0.01173829550073,0.004652579008431
5,FT0006,FT0006,895.510372516292,60.5111703625973,,NI,60.5109326899497,60.5114987599615,895.479986012657,898.256465845152,3,11736;23752;28938;38946;41940;44913;47868;50888;56763;59687;62649;65622;71406;77319;80224;82976,65.96723|186.672347725681,1.0,0.008058463680144,0.00053060026698,0.012288260063088,0.047021971655013,-0.007893570098448,0.039625846463102,0.00738534767982,0.006334239080994,0.014752720577966,0.026759723991551,-0.036625567639978,0.00616379700878,-0.027924591256289,0.017630555605736,0.006613504830916,-0.020062037687102,-0.004042383175556,-0.01432412172042,-0.012898916867418,0.057056231697339,0.01052139268299,-0.001875810458133,0.010443914328491,0.058647876494351,0.004987988134407,0.054729763320377,0.010343095469408,0.008313613489152,0.01294591999254,0.034449861673275,-0.047752569505125,0.007096967495453,0.032956991939288,-0.024627696607501,-0.019104828926936,0.007256332406946,-0.024329069933817,-0.019299816395235,0.010246838948943,-0.03714924172964,2.81097724536041,4,0.198427212874909,3.05947402713999,3,0.231528895391368,3.49238184762799,3,0.379297732260424,2.77607725177411,4,0.122348207754206,2.23443510593208,2,0.015362106803219,0.595000100111971,0.225482961199059,0.746505401101795,0.126967045728346,-0.248496781779574,0.055693917323272,1.25419223421926,0.122712339998978,0.911111762260832,-0.681404602267578,0.922325707160879,0.035115686491223,0.946924027444722,0.023684863430819,0.034899993586304,0.33013170551318,0.481312764466438,0.433978373604958,0.362531912095893,0.576542139428336,0.353601791386999,0.45148554346802,0.574085406130559,0.241023493225617,-0.432907820488004,0.562408839034865,0.249947862394524,0.630230085415608,0.200500868667392,0.283396775365878,0.330071597972554,0.48139184426852,0.418019161529809,0.378803810196428,0.82503892120791,0.065082080172791,1.18653857446403,0.121243943424523,0.916339946771101,0.716304595853882,0.078320335186718,1.1061254625554,0.202060905208953,0.694517705754532,1.25794674169591,0.377534350852297,0.423043526930453,0.566975880024128,0.246435416230967,0.541642145842032
6,FT0007,FT0007,68.5709995159651,61.0104584894967,,NI,61.0104296279907,61.0104873510027,68.321127167455,68.8208718644753,2,21275;36546;38947;41941;44914;47869;50889;53935;56764;59688;62650;68595;71407;74345;77320;80225,61.0121|89.7602021496791,1.0,-0.000219419879395,-0.000131329725289,-0.003813568376759,-0.007002397296919,-0.001584421013055,-0.014692328956717,-0.000152076716904,-0.001231327456886,-0.005035766156086,-0.00230789893509,0.014747669676735,-0.01259798156199,0.003171986361712,0.007670069629858,-0.003709370051053,0.00186844284932,0.006744480856419,0.017250335281691,0.018021858411512,-0.219837383532503,-0.000312777951176,-0.000798691411945,-0.003551435949792,-0.007754499367946,-0.003699260628516,-0.019460711786351,-0.000347197124544,-0.002731499057948,-0.004977726425401,-0.003150209365681,0.01972664412452,0.011062399648358,-0.011948031243272,-0.010542116708057,-0.002661341677611,0.003086310790651,0.024263173569597,0.008949787171696,-0.014500269416361,0.066578387489624,4.12925579101598,4,0.717081199707388,4.15038167472973,3,0.729334308705194,4.06612351036727,3,0.703182150694952,4.10371648847512,4,0.707571324067301,4.24700283546272,2,0.801207022677396,0.861063351286275,0.06496489488559,0.920405511932253,0.036020789183539,-0.021125883713749,0.564909673211516,0.248020988573258,0.673565274969188,0.171620310579071,0.063132280648712,0.87164587376451,0.059659921382957,0.911074436947894,0.040446138685547,0.02553930254086,0.258392687435471,0.587719781123397,0.360457469305874,0.443145970709942,-0.117747044446742,0.579704056906313,0.236793660322931,0.725144521752615,0.139575429643201,0.084258164362461,0.813808247192504,0.089477913288279,0.85217482994631,0.069471297379005,0.046665186254609,0.538715825670246,0.268640266146441,0.613702733681858,0.212041942187305,-0.096621160732993,0.843498279829297,0.073915798743387,0.892846687521751,0.049223108277761,-0.037592978107852,0.213611511563905,0.670375346802797,0.417972130894728,0.378852674689403,-0.180879325095454,0.530528791358275,0.275291042321113,0.710622510973768,0.148361039125271,-0.143286346987602
7,FT0008,FT0008,880.293704826464,68.9932833563818,,NI,68.9929671816928,68.993546328457,877.31697844805,885.518397632655,16,1;2221;4557;6902;9318;11738;14381;16707;18992;21278;23754;26444;28939;31445;33833;36547,55.93551;81.93864;109.9443|29132.8562498152;23273.134526984;3325.83455936424,1.0,8.91754706537753e-05,-0.003282822795005,-0.006400643911857,-0.001890618137924,0.006076280517587,-0.004021741364462,3.4574105628627e-05,-0.002504510332922,-0.005657718075622,-0.003951417545794,0.006906302715616,0.001797885908882,-0.00560048461755,-0.002746766600508,-0.002279051010896,-0.005034151728261,0.004164428652565,-0.002551107112292,-0.006234933571374,-0.161264465126917,-0.000432758824857,-0.006233942613715,-0.005472864932789,-0.004912778300539,0.007591794494907,-0.005116135853065,-0.00030547161099,-0.004972087600773,-0.004899568068098,-0.006004204795999,0.008679156769579,0.002856637767868,0.007726580570986,0.00376171091947,0.0024668073378,0.001063786311074,0.001567553091932,-0.010084713095265,0.007205779542019,0.004958749457499,4.11433999020101,4,0.710314557425018,4.15988053363334,3,0.734089246525238,3.9675006205528,3,0.651792245793709,4.03887182900883,4,0.669897585954645,3.90845608142869,2,0.625274323335772,0.606901579342822,0.216881732341499,0.753644333201666,0.122833562048329,-0.045540543432324,0.188409551785165,0.724897083589664,0.320101270483546,0.494712602135473,0.146839369648208,0.365135255221713,0.437546232213107,0.516336479326526,0.287067190833946,0.075468161192178,0.144715080766896,0.839486208669681,0.233242142261975,0.6321929783628,0.205883908772319,0.055059034621479,1.25917140758563,0.235011254327511,0.62891133953549,0.192379913080532,0.063900829190069,1.1944935063121,0.101116168750227,0.995179393988081,0.121008704624502,0.043813274863462,1.35839428386873,0.090217391216024,1.04470973539466,0.251424452204643,0.359876251325489,0.443846812026164,0.487206104371276,0.312287278917561,-0.071371208456031,0.618049856911243,0.208976489784845,0.805378330725075,0.094000059572303,0.059044539124111,0.169290638944918,0.771367055871962,0.329991282837495,0.481497532442044,0.130415747580142
8,FT0009,FT0009,898.038951873446,68.9900671548752,,NI,68.9805459644808,68.9931766301236,895.119300317226,900.963987168097,13,2;4556;9317;11737;14380;16708;18993;21279;23753;26445;28940;31444;33832;41942;47870;82977,55.93536;72.93884;81.93877;109.9445;137.9496|25474.5475028677;450.455560798274;23503.3906765345;3397.92982242399;830.600816554553,1.0,0.008308600273545,0.003288340993068,0.014707164663229,0.019745061179788,-0.0194113690803,0.026141506302883,0.007958220199667,0.003999275939831,0.01231757371329,0.013414984230824,-0.026875272515575,-0.007796699688693,-0.009208892317179,-0.001523068305392,0.001857099668245,-0.00605878151281,0.011253849845689,-0.005839637053293,-0.01142391192225,0.12485895855942,0.011164705665072,0.002811566209143,0.015865298208795,0.030149016548536,-0.017870213939755,0.036454660190565,0.010740850946106,0.00416874018575,0.013326138993439,0.018840538855207,-0.035272690486846,0.01168790799688,0.003858839582021,-0.00224243479481,-0.002611153118139,-0.003920711835861,0.001056560263152,-0.013692723775046,0.013120587290896,0.01945215906546,3.70453324280034,4,0.508595464520849,3.99686896797996,3,0.65764447695684,4.30495850148574,3,0.809070958302853,3.58557767710995,4,0.405998536942209,3.75453501553264,2,0.530907095830285,0.369455875859346,0.432437421991945,0.560044870176589,0.251777176405513,-0.29233572517962,0.019977557966126,1.69945760052718,0.051031781735252,1.29215926834659,-0.600425258685402,0.539667680576741,0.267873590027184,0.65715456499376,0.182332470883066,0.118955565690395,0.917684203540928,0.037306743913021,0.94221044232035,0.025852086876627,-0.050001772732298,0.388592437631093,0.410505655427034,0.590145437435818,0.229040946167709,-0.308089533505782,0.2201540381087,0.657273344216529,0.289163861592773,0.538855984169796,0.411291290870015,0.72700479448858,0.13846272502395,0.779779323419475,0.108028284721101,0.242333952447322,0.008937929646813,2.04876306812735,0.021419669995695,1.66918722445433,0.719380824375797,0.364136309563152,0.438736013577201,0.597817779093619,0.223431173191964,0.550423485953104,0.727165269740503,0.138366871700615,0.846642075640696,0.072300152157181,-0.168957338422693
9,FT0010,FT0010,896.467961748843,69.9933738866481,,NI,69.9929293557374,69.9935992776015,892.800072567022,899.171169314121,16,3;2223;4558;6903;9319;11739;14383;16709;18994;21280;23755;26446;28941;31446;33834;36548,57.93598|2801.38984549834,1.0,0.004289097294216,0.000119506495511,0.004762715771731,0.007605810397828,-0.006565730038149,0.011884190970333,0.004160935420489,0.000487104844642,0.004209447386132,0.005476996644345,-0.012963441572642,0.000800985865691,-0.001558704721941,-0.002792139792958,0.001794191986896,-0.004374592449342,0.005769941932913,0.00011036834046,-0.005567347316942,-0.086729668373437,0.005475516681474,-0.001512984458039,0.005927941154554,0.010955131040684,-0.005676267944072,0.016126243955284,0.005374602715197,-0.00080852045616,0.005224334782641,0.007315332427636,-0.016891426920448,-0.000436359677342,0.001979627290334,0.0016694609741,-0.002008473115383,0.001086295521444,0.003512440809588,-0.006449858451541,0.007476453994861,0.052794247468456,3.69870439738196,4,0.505669348939283,3.85661903711697,3,0.586869056327725,3.92655994983612,3,0.62966349670812,3.58104764941424,4,0.401975128017557,3.66507834633024,2,0.467995610826628,0.280783659898774,0.551628169413596,0.468060238043096,0.329698250844214,-0.157914639735005,0.027323658608123,1.56346114953891,0.066925670135085,1.17440727147443,-0.227855552454154,0.225818532678331,0.646240418878485,0.38624987128244,0.413131652295486,0.117656747967724,0.835018014694358,0.078304154938005,0.880262916763219,0.055387593479781,0.033626051051726,0.625032707125784,0.204097256011783,0.757941940407979,0.120364060761305,-0.069940912719149,0.091255277272128,1.0397420109932,0.136907972272077,0.863571261778628,0.275571387702729,0.455051892701976,0.341939074927367,0.538128638849601,0.269113894473891,0.191540690786731,0.006244695066961,2.20448876369007,0.015537802297758,1.80861040879465,0.345512300421877,0.179356822713504,0.746282098160201,0.37149472235912,0.430047351665432,0.26148160350588,0.612659032570437,0.212781159203612,0.770405341232728,0.113280714902396,-0.084030696915998
