,ID,General.All.ID,General.All.rtmed,General.All.mzmed,General.All.annot_ms1,General.All.annot_ms2,General.Extended.mzmin,General.Extended.mzmax,General.Extended.rtmin,General.Extended.rtmax,General.Extended.npeaks,General.Extended.peakidx,General.Extended.ms2spectrum,General.Extended.purity,PCA_filled.All_samples.PC1..51.4..,PCA_filled.All_samples.PC2..12.5..,PCA_filled.All_samples.PC3..9.3..,PCA_filled.All_samples.PC4..6.6..,PCA_filled.All_samples.PC5..5.2..,PCA_filled.All_samples.PC6..2.8..,PCA_filled.samples.PC1..57..,PCA_filled.samples.PC2..11.9..,PCA_filled.samples.PC3..10..,PCA_filled.samples.PC4..5.9..,PCA_filled.samples.PC5..3.6..,PCA_filled.samples.PC6..2.9..,PCA_filled.samples.PC7..1.8..,PCA_filled.samples.PC8..1.6..,PCA_filled.samples.PC9..1.4..,PCA_filled.samples.PC10..1.1..,PCA_filled.samples.PC11..1.1..,PCA_filled.samples.PC12..1..,PCA_filled.samples.PC13..0.8..,PCA_filled.samples.PC14..0..,PCA_nofill.All_samples.PC1..61.9..,PCA_nofill.All_samples.PC2..9.5..,PCA_nofill.All_samples.PC3..8..,PCA_nofill.All_samples.PC4..4.4..,PCA_nofill.All_samples.PC5..3..,PCA_nofill.All_samples.PC6..2.6..,PCA_nofill.samples.PC1..63.3..,PCA_nofill.samples.PC2..12..,PCA_nofill.samples.PC3..8.2..,PCA_nofill.samples.PC4..3.5..,PCA_nofill.samples.PC5..2.8..,PCA_nofill.samples.PC6..2.7..,PCA_nofill.samples.PC7..1.9..,PCA_nofill.samples.PC8..1.3..,PCA_nofill.samples.PC9..1.2..,PCA_nofill.samples.PC10..1..,PCA_nofill.samples.PC11..0.9..,PCA_nofill.samples.PC12..0.7..,PCA_nofill.samples.PC13..0.6..,PCA_nofill.samples.PC14..0..,Stats.Mean.DMSO_SP,Stats.N.value.DMSO_SP,Stats.Quantile.DMSO_SP,Stats.Mean.DMSO_EP,Stats.N.value.DMSO_EP,Stats.Quantile.DMSO_EP,Stats.Mean.I_EP,Stats.N.value.I_EP,Stats.Quantile.I_EP,Stats.Mean.DMSO_I,Stats.N.value.DMSO_I,Stats.Quantile.DMSO_I,Stats.Mean.QC_QC,Stats.N.value.QC_QC,Stats.Quantile.QC_QC,ttest.DMSO_SP_vs_DMSO_EP.pvalue,ttest.DMSO_SP_vs_DMSO_EP.log.pvalue,ttest.DMSO_SP_vs_DMSO_EP.fdr,ttest.DMSO_SP_vs_DMSO_EP.log.fdr,ttest.DMSO_SP_vs_DMSO_EP.mean.diff,ttest.DMSO_SP_vs_I_EP.pvalue,ttest.DMSO_SP_vs_I_EP.log.pvalue,ttest.DMSO_SP_vs_I_EP.fdr,ttest.DMSO_SP_vs_I_EP.log.fdr,ttest.DMSO_SP_vs_I_EP.mean.diff,ttest.DMSO_SP_vs_DMSO_I.pvalue,ttest.DMSO_SP_vs_DMSO_I.log.pvalue,ttest.DMSO_SP_vs_DMSO_I.fdr,ttest.DMSO_SP_vs_DMSO_I.log.fdr,ttest.DMSO_SP_vs_DMSO_I.mean.diff,ttest.DMSO_SP_vs_QC_QC.pvalue,ttest.DMSO_SP_vs_QC_QC.log.pvalue,ttest.DMSO_SP_vs_QC_QC.fdr,ttest.DMSO_SP_vs_QC_QC.log.fdr,ttest.DMSO_SP_vs_QC_QC.mean.diff,ttest.DMSO_EP_vs_I_EP.pvalue,ttest.DMSO_EP_vs_I_EP.log.pvalue,ttest.DMSO_EP_vs_I_EP.fdr,ttest.DMSO_EP_vs_I_EP.log.fdr,ttest.DMSO_EP_vs_I_EP.mean.diff,ttest.DMSO_EP_vs_DMSO_I.pvalue,ttest.DMSO_EP_vs_DMSO_I.log.pvalue,ttest.DMSO_EP_vs_DMSO_I.fdr,ttest.DMSO_EP_vs_DMSO_I.log.fdr,ttest.DMSO_EP_vs_DMSO_I.mean.diff,ttest.DMSO_EP_vs_QC_QC.pvalue,ttest.DMSO_EP_vs_QC_QC.log.pvalue,ttest.DMSO_EP_vs_QC_QC.fdr,ttest.DMSO_EP_vs_QC_QC.log.fdr,ttest.DMSO_EP_vs_QC_QC.mean.diff,ttest.I_EP_vs_DMSO_I.pvalue,ttest.I_EP_vs_DMSO_I.log.pvalue,ttest.I_EP_vs_DMSO_I.fdr,ttest.I_EP_vs_DMSO_I.log.fdr,ttest.I_EP_vs_DMSO_I.mean.diff,ttest.I_EP_vs_QC_QC.pvalue,ttest.I_EP_vs_QC_QC.log.pvalue,ttest.I_EP_vs_QC_QC.fdr,ttest.I_EP_vs_QC_QC.log.fdr,ttest.I_EP_vs_QC_QC.mean.diff,ttest.DMSO_I_vs_QC_QC.pvalue,ttest.DMSO_I_vs_QC_QC.log.pvalue,ttest.DMSO_I_vs_QC_QC.fdr,ttest.DMSO_I_vs_QC_QC.log.fdr,ttest.DMSO_I_vs_QC_QC.mean.diff
3,FT0004,FT0004,312.264653243784,59.0605794918012,Acetonitrile,1,59.0602678677233,59.0606843800368,298.790219018088,329.901397727802,9,3;2701;2702;5479;8431;9847;11187;12582;15439;24185;27494;30752;38386;41422;42961;44481;45674,59.06119|708.451355558855,1.0,-0.008743295453411,-0.01882143247677,0.022048857077566,0.000368407749782,-0.031272835684203,0.008843410988023,-0.009076095434764,-0.002530596035927,0.022582936852422,-0.00848382058869,0.025982159398576,0.040773594671398,-0.01562707595894,0.016459414324472,-0.015782749653777,0.009728735904798,0.01596163925346,-0.003585316168503,0.012590616455749,0.081554394635083,-0.012927166972703,-0.025019464818208,0.017449643168956,0.087045213830733,-0.002984556980958,0.075506253265709,-0.013010779976985,-0.030589853645866,-0.000813459905368,0.038920126401863,0.015541531886908,0.065028900844639,-0.033946353860803,0.01497851636939,-0.016935342330783,-0.022177341688225,-0.005438221977879,-0.011280024132869,-0.034879494113784,-0.035530675512589,4.29247462448382,4,0.478562005277045,3.74370393686855,3,0.286939313984169,3.54314673390383,3,0.235488126649077,4.12142333672043,4,0.404023746701847,2.81734705415062,2,0.055408970976253,0.145922931151819,0.835876455261032,0.195123494664069,0.709690434405427,0.548770687615267,0.145934152462138,0.83584305978477,0.229303481655128,0.639589351061032,0.749327890579995,0.141168691386198,0.850261611116356,0.727522525838642,0.138153555337285,0.171051287763387,0.000203731987934,3.69094077712428,0.009357757610365,2.02882820832574,1.4751275703332,0.765837457018088,0.115863396177884,0.887365926084511,0.051897251749266,0.200557202964728,0.289425639501706,0.538462998438544,0.349271020737318,0.456837446586726,-0.37771939985188,0.147254910787395,0.831930213061709,0.230142726550197,0.638002746031919,0.926356882717935,0.241570442783309,0.61695620465927,0.340037874892755,0.468472706661217,-0.578276602816608,0.352288871803658,0.453101075213863,0.56399240112508,0.248726747384882,0.725799679753208,0.000327630156113,3.48461613123734,0.015195815685616,1.81827598276705,1.30407628256982
4,FT0005,FT0005,346.155772690859,59.0605936507109,Acetonitrile,1,59.0604256952641,59.0607616061577,345.447218101429,346.864327280288,2,1442;4092;22697;25866;29136;30753;32154;33680;35259;36795;38387;39883;41423;42962;44482;45675,59.06088|109.66402107893,1.0,-0.00085170411295,-0.004877632589493,-0.009627096708027,-0.002258231388869,-0.003446801937144,0.005139866529065,-0.000925193898351,-0.006812053311685,-0.007498876567451,-0.003542440815673,0.005537146748317,-0.00208310758342,0.003663086342788,0.018090066093505,0.003410458935686,-0.00562049260945,-0.005686188551331,-0.008219411037869,-5.20806335366258e-05,0.070207276462705,-0.001454289362881,0.01272069463211,0.00719945478311,0.008481222944483,0.016547029551946,-0.005265999540228,-0.001612384193691,0.010010216523356,0.007359258776935,0.018781355445291,0.003419980774464,-0.00543390172562,0.007330854287749,0.027751239560992,0.004354084285704,0.005688358788819,-0.006149011076304,0.019587916000673,0.000673157162327,-0.114085441930576,4.21809577816545,4,0.439313984168865,4.05839745736592,3,0.379287598944591,4.0684493392381,3,0.41721635883905,4.00113019952176,4,0.348284960422164,3.97784063043478,2,0.364116094986807,0.101434487452329,0.993814360941912,0.143387966031677,0.843487295706868,0.159698320799529,0.178256541798809,0.74895452310307,0.269205569602486,0.569915959222933,0.149646438927351,0.123127881904949,0.909643591371332,0.704618925618178,0.152045696123329,0.216965578643686,0.04608641460364,1.33642707747806,0.148218546616721,0.829097449600036,0.240255147730668,0.946045055735252,0.024088179675124,0.974362050600797,0.011279639259246,-0.010051881872178,0.731997982970453,0.135490115643806,0.769067599867326,0.114035484699158,0.057267257844157,0.618564201398066,0.208615217836164,0.691806218605288,0.160015538456634,0.080556826931139,0.703001711325797,0.153043617770438,0.766451344386845,0.115515409674582,0.067319139716335,0.624767768907608,0.20428138333471,0.798680349033724,0.097627000945276,0.090608708803317,0.909516907431967,0.041189223223745,0.947048554231085,0.02362775458271,0.023289569086982
5,FT0006,FT0006,74.708252327486,61.01079531051,,NI,61.0105003007587,61.0108741355988,71.7195800034261,74.9825799944049,7,4;2703;5480;9848;12583;13972;21305;24186;27495;30754;32155;35260;39884;41424;42963;44483,,0.0,-0.000637487400563,0.00086970091453,0.002660007285015,0.006876248980069,-0.012328045499644,0.014317842894889,-0.000644011328265,0.005002392244263,-0.000370118524132,-0.003257351099458,0.018577581692782,0.008635121333601,-0.008093330290985,0.009166227048426,0.008700393207331,0.021268593657844,-0.004885362101086,-0.00525203574148,0.013966134022871,0.061415137326897,-0.000848420620181,0.00306722525658,-0.009003229964617,0.023634903246383,0.003536736663828,0.020036250686493,-0.000910387194933,0.001332990622803,-0.011635816465151,0.019198320788455,-0.00957841891133,0.024131151123676,-0.014577443385154,0.0047546337336,0.006158368878252,0.018013362967156,-0.034277534095733,-0.00952655913549,-0.026481863803206,-0.069062806481891,4.60192519977985,4,0.62664907651715,4.4367140922572,3,0.527704485488127,4.71909718599146,3,0.680738786279683,4.6375621502445,4,0.655343007915567,4.45066162790847,2,0.571899736147757,0.472950841775077,0.325183997222642,0.540566355463041,0.267150988033238,0.165211107522647,0.435404865262565,0.361106722412794,0.535597462098552,0.27116148953756,-0.117171986211609,0.736819927215726,0.1326386372048,0.947653180198797,0.023350575620413,-0.035636950464649,0.427378023577917,0.369187813674588,0.555646481491598,0.255201431381234,0.151263571871376,0.282082973758458,0.549623126626995,0.567201103817901,0.246262932652992,-0.282383093734256,0.308523811952828,0.510711311369377,0.369083185784011,0.432875739381839,-0.200848057987296,0.964678598432273,0.015617356269834,0.974643622274793,0.011154154734671,-0.013947535651271,0.308577291782258,0.510636036848777,0.411617399332955,0.385506275613732,0.081535035746961,0.165997313561109,0.779898940363722,0.337903195032721,0.471207701748275,0.268435558082985,0.088967914365025,1.05076659028346,0.271246721978353,0.566635501568539,0.186900522336025
6,FT0007,FT0007,74.3771939526792,63.9980115826125,,NI,63.9978356220296,63.998054360241,71.7195800034261,74.9825799944049,5,5;2704;5481;9849;12584;24187;27496;30755;32156;35261;38388;39885;41425;42964,,0.0,-0.000711425501211,-0.017915760564856,0.003722890358101,0.022596353608839,-0.04328324834522,-0.0103537496405,-0.001243929294718,0.003716780268482,-0.001510532100353,0.001534335365656,0.023644134924645,0.008944050904189,-0.007890039723282,0.008601926459656,0.007742127427357,0.025335646111798,-0.006502951090203,-0.008504111112234,0.012857191865454,-0.176418521412421,,,,,,,-0.001816858771968,0.003228714171666,-0.007826794973578,0.020900939780153,-0.02017777070134,0.030119828612706,-0.014269602484267,0.003605499784225,0.001679200611647,0.019375677855442,-0.041506362974523,-0.00786636606713,-0.023864135935064,0.042427982086909,5.17582870348208,4,0.883575197889182,5.02656777855086,3,0.796174142480211,5.26326761907298,3,0.886213720316623,5.25637483616405,4,0.904683377308707,3.38095150969014,0,0.160125329815303,0.558228794143481,0.25318776581388,0.620893417703938,0.206982944228764,0.149260924931218,0.652945564701622,0.185123023832335,0.729645043716365,0.136888363230045,-0.0874389155909,0.521982485035874,0.282344069373004,0.879209036087959,0.055907857091649,-0.080546132681972,0.000497072618163,3.30358015983053,0.014199395167908,1.84773015426727,1.79487719379194,0.436360245311165,0.360154822768489,0.686870338392312,0.16312523766445,-0.236699840522117,0.295469536083779,0.529487289715834,0.354868051069694,0.449933098620041,-0.22980705761319,0.011949288347787,1.92265795880225,0.038688031366694,1.41242336871074,1.64561626886072,0.95801166218299,0.018629204083364,0.969199652899174,0.013586750068993,0.006892782908928,0.002085244752537,2.68084296302207,0.027208365400613,1.56529754858474,1.88231610938284,8.80954561934795e-07,6.05504649114515,0.000531377081411,3.2745971808841,1.87542332647391
7,FT0008,FT0008,584.585672424931,70.0651264363532,1-Pyrroline,1,70.0645226238852,70.0653460523869,582.920723468475,586.810335849667,8,1443;2705;4095;5484;6920;18318;19799;21307;32157;33681;35262;36796;38389;39886;41426,70.06503|1227.14983730125,1.0,0.025907122754592,0.009341705049411,-0.007610244875109,0.006024896615078,0.000730570766616,0.006026085639101,0.026018063507943,0.006454145150069,-0.010690931536875,0.000325769921983,0.003666089928965,0.007005888800948,-0.0069521307862,-0.002915460284629,0.014636171054214,-0.038167841689542,0.014765932676561,-0.002623755011694,-0.010173727498498,-0.116360063781946,,,,,,,,,,,,,,,,,,,,,3.40365761819274,3,0.189313984168865,4.79648907903191,3,0.679089709762533,5.06666145807266,3,0.831134564643799,3.4901811410049,4,0.189973614775726,4.34888383481872,2,0.525395778364116,0.001476663779935,2.83071837749865,0.004120478248349,2.38505237412096,-1.39283146083917,0.000672397049599,3.17237420086278,0.002739294969535,2.56236120004104,-1.66300383987992,0.703535389956119,0.152714051354921,0.937530640800555,0.028014529559556,-0.086523522812154,0.027792534461363,1.55607184716306,0.107204833565615,0.969785633080278,-0.945226216625981,0.001953577996466,2.70916924491602,0.043226305004319,1.3642518864839,-0.270172379040754,0.000178464178728,3.74844894225159,0.000820285276734,3.08603508351275,1.30630793802701,0.000439494563101,3.35704649312724,0.007747369275122,2.11084574307478,0.447605244213188,7.78734811660871e-05,4.10861041067139,0.000636421549584,3.19625512332642,1.57648031706777,0.000540738652141,3.26701258583145,0.01411195695163,1.8504127570208,0.717777623253942,0.006709603301501,2.17330315629333,0.06772226265648,1.16926854018496,-0.858702693813827
8,FT0009,FT0009,381.908937583337,70.0651379471436,1-Pyrroline,1,70.0647806071317,70.0655293084383,381.111498154921,384.01521960801,7,1444;2707;4093;5483;6919;18320;21306;22698;32158;33682;35263;36797;38390;39887;41427;44484,70.06505|2203.90089696732,1.0,0.040391189813197,0.016681836789254,-0.01461769906148,0.003261050907555,0.012149589298299,0.013483148372976,0.040669284597419,0.006508215120227,-0.017316977128377,0.000451510634654,0.001459394032792,-0.002909242133935,0.012831681816087,-0.00823121650507,0.006586840048202,-0.014709245670664,0.00683669582154,-0.018257726094081,0.003246465305458,-0.066146251122746,0.059820407700403,0.019774499643746,-0.017575899472132,-0.047620398838888,0.033960806677363,-0.014583824322563,0.058115334984298,0.025893957977296,-0.004620488043121,0.00366720496758,-0.000191445513047,-0.003317519256943,0.020366338722656,-0.018286298593909,0.01405992208364,-0.023038480602991,-0.008020868425633,0.026057374402834,0.002446011049103,-0.042514559394935,2.28936979202894,4,0.063984168865435,4.41960136689256,3,0.521437994722955,4.82030438278219,3,0.724934036939314,2.31042752853131,4,0.04221635883905,4.09804628569014,2,0.424802110817942,3.56766622389288e-05,4.44761578319224,0.000267048233757,3.57341029008557,-2.13023157486362,2.5849191238221e-05,4.58755304043358,0.000308460230878,3.51080082068589,-2.53093459075325,0.902599159582174,0.044505075191005,0.979946877556095,0.008797466562168,-0.021057736502373,0.000713394353402,3.14667033247479,0.016860306032879,1.77313454672288,-1.8086764936612,0.016562273671772,1.78088004343745,0.121882751380159,0.914057750578887,-0.400703015889632,1.37740280819638e-05,4.86093903592675,0.000146906799508,3.83295810264093,2.10917383836124,0.004665028420806,2.3311457060522,0.022902668881485,1.64011390574026,0.321555081202421,1.24036557040785e-05,4.9064502972472,0.000212636875134,3.67236141865287,2.50987685425088,0.009935318192836,2.00281821942683,0.05525495310548,1.25762878533585,0.722258097092053,0.000327944221164,3.48420001757151,0.015195815685616,1.81827598276705,-1.78761875715882
9,FT0010,FT0010,443.084468964128,70.0647205450777,1-Pyrroline,1,70.0481995920315,70.0650995778015,441.614971699288,444.280749713668,5,2706;4094;5482;6921;18319;22699;24188;32159;33683;35264;36798;38391;39888;41428;44485;45676,70.06552|620.064981614188,1.0,0.007633000458692,0.001077905027528,-0.008519139591971,0.004496461931906,-0.008100616604838,-0.004122345632254,0.007619658483367,0.001504609166165,-0.010384226992715,-0.004618895081227,-0.000233289355099,-0.006486316918314,0.005773009057061,0.011934851682508,0.003701647733837,-0.001871343213377,0.006157213029296,-0.008354556626731,-0.006764402992956,0.038622368174718,0.011408685369548,0.016596326827652,-0.004206915324748,0.007855926931014,0.000735119886958,-0.01003853208414,0.010833393311397,0.014396086377803,-0.004395152459114,0.005922374963127,0.004860937960705,-0.011562703502581,0.008672971045291,0.018756294809434,0.004995363873662,-0.011659958441837,-0.013753036083243,0.003180065941523,0.008667698666054,-0.027282223292511,4.3181518969304,4,0.492744063324538,4.60588101430186,3,0.597625329815303,4.84503693026792,3,0.740105540897098,4.24929130048597,4,0.463390501319261,4.36403459670261,2,0.531002638522427,0.030293461209715,1.51865110308171,0.051258028989787,1.29023809763123,-0.287729117371462,0.00332476726357,2.47823875026609,0.00958836305983,2.01825552992671,-0.526885033337519,0.5786433722421,0.237589016903979,0.891032568580422,0.05010642155655,0.068860596444435,0.684433633790697,0.164668656917614,0.760258636507054,0.119038637588234,-0.045882699772206,0.070004104615535,1.15487649484838,0.269685023887836,0.569143170059755,-0.239155915966057,0.0365270852092,1.43738498226567,0.059741112904248,1.22372669127873,0.356589713815897,0.074961724456251,1.12516043128223,0.141698222288874,0.848635598270362,0.241846417599255,0.005769585544896,2.23885538303653,0.015340075164926,1.81417251237969,0.595745629781954,0.017408422081716,1.75924059202225,0.076360242155833,1.11713270302883,0.481002333565312,0.478791182323777,0.319853856393007,0.680967449542695,0.166873647003294,-0.114743296216641
10,FT0011,FT0011,95.7006221792052,70.0647460458227,1-Pyrroline,1,70.0647460458227,70.0647460458227,95.7006221792052,95.7006221792052,1,19800;22700;24189;25867;29137;30756;32160;33684;35265;36799;38392;39889;41429;45677,70.06492|105.465365731021,1.0,0.000329803696608,0.018322154887603,0.008335369287565,-0.022730640446624,0.017161338374878,-0.029623291589423,0.000562785233319,0.010772584091059,0.010137822150836,-0.011167905718358,-0.047130095251652,0.021726904389437,0.040813548428781,0.047753945719612,0.009958705205711,0.028177776870775,-0.03492052973395,0.037795661480999,0.046358784655953,-0.12102055378508,,,,,,,,,,,,,,,,,,,,,3.09442956467388,4,0.135224274406332,3.22285554316315,2,0.172163588390501,3.18723650054902,2,0.151715039577836,3.27734620502486,4,0.145118733509235,3.98976790452885,2,0.370052770448549,0.80711685649418,0.093063582432142,0.837605474012847,0.076960493070134,-0.128425978489269,0.865275605231482,0.062845540203492,0.900017281900008,0.045749151269841,-0.092806935875132,0.584469628960352,0.233238051341527,0.893390918446217,0.048958466559436,-0.182916640350978,0.042495165769659,1.37166047227851,0.140322095911152,0.852873937120495,-0.895338339854966,0.9648307736232,0.015548853004915,0.983010626692816,0.007441787265417,0.035619042614137,0.921107694264611,0.035689589900269,0.934059325720625,0.029625539171542,-0.054490661861709,0.338315214009206,0.470678471583355,0.431540483330211,0.364978456351519,-0.766912361365697,0.874722111130492,0.058129895287143,0.907066906798387,0.042360677458473,-0.090109704475846,0.341207595145414,0.466981310174414,0.552457382951789,0.257701218208878,-0.802531403979834,0.122355460355664,0.912376644625074,0.313421583109671,0.503871100073286,-0.712421699503988
11,FT0012,FT0012,84.2622735176225,74.0598478044254,Acrolein;3-Aminopropionaldehyde;Aminoacetone,1,74.0596047510742,74.0600847929495,83.4457452578583,84.6303077364673,8,4096;6922;8433;12585;13973;15440;16888;19801;22701;24190;25868;29138;33685;35266;42965;45678,56.04992|396.969798166025,1.0,-0.003288407347375,0.008979133717847,-0.006369765995317,0.001418995921241,-0.002865001722075,-0.020900195101807,-0.003325505177046,0.008907200650796,-0.008585768950528,-0.001862740255225,-0.017271699300532,-0.017721009023047,-0.000828553466816,-0.003512418967685,-0.012065646482466,-0.001535612790244,-0.014100755367853,0.006681916916374,-0.005450921792793,0.052802163489012,-0.004497608468019,0.011954027422194,-0.016738014708802,-0.013309929228647,-0.023798265509232,-0.019473952955574,-0.004494874691431,0.011626262627783,-0.014951711152369,-0.029985295139709,0.00527058068433,-0.027009686993,0.002239808209346,0.000792069997965,-0.019333482033046,0.017555200242518,0.011916327843035,0.004907875870689,0.010652874760296,0.061583481928745,4.04409761117038,4,0.37434036939314,3.82939858351127,3,0.308377308707124,4.10085229501562,3,0.429419525065963,4.23285551921015,4,0.456134564643799,4.03441822225569,2,0.394129287598945,0.26668509793982,0.574001251514183,0.328144285820088,0.483935153980307,0.214699027659106,0.799766526464908,0.097036776841408,0.850558716391276,0.070295700482296,-0.056754683845237,0.198017952626161,0.703295434117081,0.748248177991262,0.125954332007723,-0.188757908039773,0.952011831905984,0.021357654031967,0.966249749678639,0.014910605584045,0.009679388914689,0.372074424238629,0.429370181614525,0.645480117421083,0.190117130666806,-0.271453711504343,0.067100655359605,1.17327323813697,0.100468554169176,0.997969847574915,-0.403456935698879,0.420298514606439,0.376442144849111,0.513641715552892,0.289339712161305,-0.205019638744417,0.562927653283486,0.249547416514007,0.647004035161307,0.189093010764337,-0.132003224194536,0.834732024190768,0.078452924629166,0.921031221449661,0.035725647682105,0.066434072759926,0.265614830264187,0.575747680350352,0.47731851990502,0.321191714729675,0.198437296954462
12,FT0013,FT0013,129.530585624817,74.0599069044655,Acrolein;3-Aminopropionaldehyde;Aminoacetone,1,74.0599069044655,74.0599069044655,129.530585624817,129.530585624817,1,18323;22702;24191;25869;27497;29139;30757;32161;33686;35267;36800;38393;39890;41430;44486;45679,56.05026;57.03387|32.5118068526901;33.6436086808309,1.0,0.007281216263898,0.004341901649285,-0.00563787795185,0.005325636098665,0.01624586455701,-0.02751199575884,0.007340682081087,0.001554051581596,-0.006877830709033,0.01239724223351,-0.028460913301252,-0.025099937001399,-0.001386621044309,-0.00487045481341,-0.023636005438118,0.004594596087827,0.01569746261028,-0.004579361360743,0.012408235718594,-0.023437364997329,0.010995364872807,0.007969040173923,0.003611928534859,-0.035491821974448,-0.036001486348187,-0.03805430713222,0.01067266807509,0.009261408420201,0.0072103624089,-0.046409859796345,-0.005702318602261,-0.040832976544934,0.001384633122756,-0.001217514139181,-0.035862015143785,-0.025101367787286,-0.006584134164718,0.004568188903106,-0.032957910994138,-0.077057385295702,3.37423807867288,4,0.180408970976253,4.03960452716095,3,0.372691292875989,3.85323504817202,3,0.337071240105541,3.63249992779071,4,0.225593667546174,3.84489331137027,2,0.314973614775726,0.077458924797456,1.11092853572294,0.113960726404395,0.94324479115935,-0.665366448488072,0.217973766161242,0.661595771977913,0.314662066158707,0.502155609965534,-0.478996969499142,0.309725835538144,0.509022566797955,0.815509369797159,0.088571044767389,-0.258261849117834,0.242522799749077,0.615247426794664,0.392495477092574,0.406165343466639,-0.470655232697395,0.555689237750834,0.255168014282979,0.758620361726122,0.119975504809315,0.18636947898893,0.032318571465278,1.49054784401311,0.053579327722152,1.27100273993258,0.407104599370238,0.401507346234628,0.39630650418362,0.496480535800731,0.304097773069982,0.194711215790677,0.344356635227407,0.462991544405432,0.446382778114365,0.350292569254569,0.220735120381307,0.980673933652224,0.008475368109217,0.992710860440307,0.003177226832587,0.008341736801746,0.028845273958115,1.53992533197252,0.149560769769131,0.825182308256882,-0.212393383579561
